,Username,Tweet id,Tweet,Language,Date,Location,Place,Coordinates
0,Priyatharshan 🌏,1.40228E+18,"Pearl Ship Disaster,  flood due to heavy rain has effected the fishermen day to day life.

More news
https://t.co/0I5m7k4cvB

#lka #SriLanka #Weather #COVID19LK #MVXPressPearl #XPressPearl",en,8/6/2021 15:11,Colombo,,
1,Financial Chronicle,1.40223E+18,More rain forecast for flood &amp; landslide-ravaged Sri Lanka https://t.co/IkfJEu0WZt #FinancialChronicle #Srilanka #LK,en,8/6/2021 11:45,"Colombo, Sri Lanka",,
2,Mario Alles,1.4019E+18,@riseup_sl @NewsfirstSL @PresRajapaksa At least the country will have roads. Hope the people will be in a position to use them at the rate they are dying. Roads are required but people’s needs are to been seen first. There are so many in difficulty due to flooding and needs the government’s help. @sajithpremadasa,en,7/6/2021 14:05,Colombo,,
3,Tharindu Gamage,1.40182E+18,"@AnuradhaKHerath You and me lucky to have a complete meal even in this crucial situation. Flood, Pandemic, landslides, coastal areas destroyed by burning ship. 
My kind request to not to publish photo of foods. As a educated lady you might understand
Thanks",en,7/6/2021 8:15,Biyagama ,,
4,Ceylon Today,1.40181E+18,"Adverse weather affects over 270,000 persons 

#lka #SriLanka #Weather #WeatherUpdate #rain #storm #flooding 
https://t.co/dUguOuwjYs",en,7/6/2021 8:13,"Colombo, Sri Lanka",,
5,Rasika Jayakody,1.40177E+18,Thank you @sajaniveda95 for stepping up to support flood-affected people in #Kelanimulla. You launched into action so quickly and made it all possible. Very inspiring to see young people supporting good causes 🙏🙂 #SriLanka #floods #support,en,7/6/2021 5:03,"Colombo, Sri Lanka",,
6,Rohan Samarajiva,1.40163E+18,"What could be, still. In #SriLanka. #Floodwarning in Bangladesh &amp; India powered by machine learning models. https://t.co/ECvDURUlQN",en,6/6/2021 19:51,Colombo,,
7,Newsfirst.lk Sri Lanka,1.40159E+18,"SLAF Bell 212 Helicopter was deployed on Sunday (06) on a reconnaissance mission in order to evaluate the flood situation in Kaduwela, Hanwella, Kelani River, Gampaha, Attanagalu Oya, Thihariya, Bulathsinhala, Millakanda and Kalu River. https://t.co/18TnrVa51g",en,6/6/2021 17:17,"Colombo, Sri Lanka",,
8,Sam Perera,1.40155E+18,"There is a tide in the affairs of men, 
Which, taken at the flood, leads on to fortune. - Shakespeare.
Inspire yourself during lockdown. 

Jeronis Pieris, Nihal Jinasena
Hemaka Amarasuriya

Get books to your doorstep from https://t.co/gviJcVnd1F https://t.co/wQRNp32ff7",en,6/6/2021 14:25,"Colombo, Sri Lanka",,
9,Dingiri Back at BookClubbing,1.4015E+18,"Me: Authorities are responsible for flood control 

Dude: No, people clog drains, they are the ones responsible

Me: Authorities exist to get people in line and provide solutions and convenience 

Dude: No, people do things on their own. What are authorities supposed to do?

Me: https://t.co/aKphSHBQbR",en,6/6/2021 11:40,Colombo,,
10,Mahas,1.40145E+18,"@dilinialgama Yes, acid rains were warned. In addition now, flood water has furnace oil.",en,6/6/2021 7:56,"Colombo, Sri Lanka",,
11,Dingiri Back at BookClubbing,1.40143E+18,"@LahiruGamage84 Sure sure, if you literally equate the background of massive flash flood over large areas to a garbage dumping in the neighborhood, overlooking  effective waste management mechanisms,  flood control, maintaining wetlands without unnecessary land reclamation, city planning...",en,6/6/2021 6:56,Colombo,,
12,Vajira Sumedha🐦 🇱🇰,1.40142E+18,"@Sri_Lanka_Army evacuated four #COVID19 positive ppl under the health regulations in Nittambuwa.
They were trapped due to flood of Aththanagalu oya.
#weather #srilanka https://t.co/YJn9dsXoL4",en,6/6/2021 6:21,Colombo/Sri Lanka,,
13,Chanakya Dissanayake,1.40139E+18,"@thegallerybitch Nothing unusual about floods during peak South - West Monsoon. Greater Colombo is actually the flood plain of two high discharge rivers, Kelani and Kalu.",en,6/6/2021 4:19,Colombo Sri Lanka,,
14,Nipuna Dissanayake,1.40135E+18,@gabeysena @BasnayakeM More than 1/3 of The Expressway is elevated to address minor flood issues although the cost is 8 times more than the normal.,en,6/6/2021 1:31,colombo,,
